País,Competición,Categoría,Temporada,Jornada,Equipo 1,Resultado,Equipo 2
España,La Liga,1ª división,2012-2013,19,Osasuna,0-0,R. Madrid
España,La Liga,1ª división,2012-2013,19,Valencia,2-0,Sevilla
España,La Liga,1ª división,2012-2013,19,Betis,2-0,Levante
España,La Liga,1ª división,2012-2013,19,R. Sociedad,1-1,Deportivo
España,La Liga,1ª división,2012-2013,19,Atlético,2-0,Zaragoza
España,La Liga,1ª división,2012-2013,19,Málaga,1-3,FC Barcelona
España,La Liga,1ª división,2012-2013,19,Getafe,2-2,Granada
España,La Liga,1ª división,2012-2013,20,Espanyol,3-2,Mallorca
España,La Liga,1ª división,2012-2013,20,Granada,2-0,Rayo
España,La Liga,1ª división,2012-2013,20,R. Sociedad,3-2,FC Barcelona
España,La Liga,1ª división,2012-2013,20,Getafe,1-1,Sevilla
España,La Liga,1ª división,2012-2013,20,Málaga,1-1,Celta
España,La Liga,1ª división,2012-2013,20,Osasuna,2-1,Deportivo
España,La Liga,1ª división,2012-2013,20,Valladolid,2-0,Zaragoza
España,La Liga,1ª división,2012-2013,20,Atlético,2-0,Levante
España,La Liga,1ª división,2012-2013,20,Valencia,0-5,R. Madrid
España,La Liga,1ª división,2012-2013,20,Betis,1-1,Athletic
España,La Liga,1ª división,2012-2013,21,Celta,1-1,R. Sociedad
España,La Liga,1ª división,2012-2013,21,Levante,2-1,Valladolid
España,La Liga,1ª división,2012-2013,21,Zaragoza,0-0,Espanyol
España,La Liga,1ª división,2012-2013,21,Deportivo,2-3,Valencia
España,La Liga,1ª división,2012-2013,21,R. Madrid,4-0,Getafe
España,La Liga,1ª división,2012-2013,21,Rayo,3-0,Betis
España,La Liga,1ª división,2012-2013,21,FC Barcelona,5-1,Osasuna
España,La Liga,1ª división,2012-2013,21,Athletic,3-0,Atlético
España,La Liga,1ª división,2012-2013,21,Mallorca,2-3,Málaga
España,La Liga,1ª división,2012-2013,21,Sevilla,3-0,Granada
España,La Liga,1ª división,2012-2013,22,Valladolid,2-2,Athletic
España,La Liga,1ª división,2012-2013,22,Osasuna,1-0,Celta
España,La Liga,1ª división,2012-2013,22,Getafe,3-1,Deportivo
España,La Liga,1ª división,2012-2013,22,Espanyol,3-2,Levante
España,La Liga,1ª división,2012-2013,22,Granada,1-0,R. Madrid
España,La Liga,1ª división,2012-2013,22,Málaga,1-1,Zaragoza
España,La Liga,1ª división,2012-2013,22,Sevilla,2-1,Rayo
España,La Liga,1ª división,2012-2013,22,Valencia,1-1,FC Barcelona
España,La Liga,1ª división,2012-2013,22,Atlético,1-0,Betis
España,La Liga,1ª división,2012-2013,22,R. Sociedad,3-0,Mallorca
España,La Liga,1ª división,2012-2013,23,Mallorca,1-1,Osasuna
España,La Liga,1ª división,2012-2013,23,Celta,0-1,Valencia
España,La Liga,1ª división,2012-2013,23,Levante,1-2,Málaga
España,La Liga,1ª división,2012-2013,23,Deportivo,0-3,Granada
España,La Liga,1ª división,2012-2013,23,R. Madrid,4-1,Sevilla
España,La Liga,1ª división,2012-2013,23,FC Barcelona,6-1,Getafe
España,La Liga,1ª división,2012-2013,23,Zaragoza,1-2,R. Sociedad
España,La Liga,1ª división,2012-2013,23,Athletic,0-4,Espanyol
España,La Liga,1ª división,2012-2013,23,Rayo,2-1,Atlético
España,La Liga,1ª división,2012-2013,23,Betis,0-0,Valladolid
España,La Liga,1ª división,2012-2013,24,Sevilla,3-1,Deportivo
España,La Liga,1ª división,2012-2013,24,Getafe,3-1,Celta
España,La Liga,1ª división,2012-2013,24,Málaga,1-0,Athletic
España,La Liga,1ª división,2012-2013,24,Granada,1-2,FC Barcelona
España,La Liga,1ª división,2012-2013,24,Osasuna,1-0,Zaragoza
España,La Liga,1ª división,2012-2013,24,R. Sociedad,1-1,Levante
España,La Liga,1ª división,2012-2013,24,Valencia,2-0,Mallorca
España,La Liga,1ª división,2012-2013,24,Valladolid,0-3,Atlético
España,La Liga,1ª división,2012-2013,24,Espanyol,1-0,Betis
España,La Liga,1ª división,2012-2013,24,R. Madrid,2-0,Rayo
España,La Liga,1ª división,2012-2013,25,Athletic,1-3,R. Sociedad
España,La Liga,1ª división,2012-2013,25,Mallorca,1-3,Getafe
España,La Liga,1ª división,2012-2013,25,Zaragoza,2-2,Valencia
España,La Liga,1ª división,2012-2013,25,Deportivo,1-2,R. Madrid
España,La Liga,1ª división,2012-2013,25,FC Barcelona,2-1,Sevilla
España,La Liga,1ª división,2012-2013,25,Rayo,1-2,Valladolid
España,La Liga,1ª división,2012-2013,25,Celta,2-1,Granada
España,La Liga,1ª división,2012-2013,25,Atlético,1-0,Espanyol
España,La Liga,1ª división,2012-2013,25,Betis,3-0,Málaga
España,La Liga,1ª división,2012-2013,25,Levante,0-2,Osasuna
